
2025/03/09 (22:25:40) | ===> btop++ v.1.4.0
2025/03/09 (22:25:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (00:23:25) | ===> btop++ v.1.4.0
2025/03/11 (00:23:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/12 (21:00:58) | ===> btop++ v.1.4.0
2025/03/12 (21:00:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/19 (22:12:48) | ===> btop++ v.1.4.0
2025/03/19 (22:12:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/20 (22:53:44) | ===> btop++ v.1.4.0
2025/03/20 (22:53:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/20 (22:58:28) | ===> btop++ v.1.4.0
2025/03/20 (22:58:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/20 (22:58:51) | ===> btop++ v.1.4.0
2025/03/20 (22:58:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (01:32:37) | ===> btop++ v.1.4.0
2025/03/21 (01:32:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (02:12:59) | ===> btop++ v.1.4.0
2025/03/21 (02:12:59) | DEBUG: Running in DEBUG mode!
2025/03/21 (02:12:59) | INFO: Logger set to DEBUG
2025/03/21 (02:12:59) | DEBUG: Setting LC_ALL=tr_TR.UTF-8
2025/03/21 (02:12:59) | INFO: Running on /dev/pts/0
2025/03/21 (02:13:10) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2025/03/21 (02:13:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: paylaşımlı nesne dosyası açılamıyor: Böyle bir dosya ya da dizin yok
2025/03/21 (02:13:10) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/21 (02:13:10) | DEBUG: Shared::init() : Initialized.
2025/03/21 (02:13:10) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/03/21 (02:15:08) | DEBUG: Writing new config file
2025/03/21 (02:15:08) | INFO: Quitting! Runtime: 00:02:09

2025/03/21 (02:15:10) | ===> btop++ v.1.4.0
2025/03/21 (02:15:10) | DEBUG: Running in DEBUG mode!
2025/03/21 (02:15:10) | INFO: Logger set to DEBUG
2025/03/21 (02:15:10) | DEBUG: Setting LC_ALL=tr_TR.UTF-8
2025/03/21 (02:15:10) | INFO: Running on /dev/pts/0
